iter	RMSE
0	0.0119420338
1	0.01180899958
2	0.01170147767
3	0.01158401251
4	0.0115536237
5	0.0114750025
6	0.01144502331
7	0.01141288296
8	0.01118674655
9	0.01106110324
10	0.01103348194
